frame,X,Y,Z,raw_world_x,raw_world_y,accepted
175,16.54712,1.0062332,3.691033,-15.359421409188622,6.237614216399876,1
176,16.041468,0.9251676,3.613637,-14.868336649545991,6.092387487726583,1
177,15.975761,0.88389784,3.612617,-14.791251238600442,6.1012388031719516,1
178,15.776649,0.8233553,3.5680017,-14.585516431580821,6.069867631374497,1
179,15.622123,0.8026634,3.5413158,-14.437203794391168,6.021804943874419,1
180,15.625836,0.7784313,3.5546777,-14.430089694689498,6.04526500846767,1
181,15.487757,0.7231116,3.5237422,-14.281659153661998,6.035537320562885,1
182,15.896999,0.7178227,3.643861,-14.648497814853652,6.217022581537345,1
183,15.635881,0.7059485,3.6086292,-14.407851215126367,6.114979518507323,1
184,15.604721,0.6669292,3.6118703,-14.36289677541072,6.136718211633878,1
185,15.403301,0.64655983,3.577897,-14.172427483858497,6.06811567903378,1
186,15.142845,0.6121405,3.5415833,-13.922642638514535,5.986693350728797,1
187,14.845431,0.5767256,3.5169873,-13.639093335147518,5.890210244492472,1
188,15.231557,0.5561339,3.633506,-13.978473357972524,6.075515853840886,1
189,15.127568,0.54041874,3.6082911,-13.877893286259342,6.044787122744416,1
190,14.844773,0.48357007,3.575332,-13.598274377510721,5.973949118681359,1
191,14.831739,0.5065525,3.5958567,-13.596442323976245,5.94759161126072,1
192,14.83413,0.47178406,3.6083171,-13.583585449036972,5.979983939796961,1
193,14.662651,0.43198338,3.6034188,-13.411730904635826,5.941836412242455,1
194,14.709705,0.4217183,3.6237547,-13.449739664020589,5.971413639985895,1
195,14.267807,0.37556267,3.5489862,-13.031232437124892,5.8222285485388525,1
196,14.282906,0.38703498,3.5641267,-13.049804671778524,5.818400628492708,1
197,14.278192,0.38700324,3.5849185,-13.045539092937066,5.8163937017242215,1
198,14.31988,0.3544024,3.6050491,-13.069062821243044,5.863799778098902,1
199,14.104911,0.34887293,3.5611448,-12.872780944461201,5.775961666971738,1
200,14.118581,0.32736933,3.5914638,-12.875825320218869,5.8012599771364295,1
201,14.114244,0.31619677,3.6102507,-12.867089660931377,5.809464756854164,1
202,13.979746,0.28033867,3.5977185,-12.730292788014037,5.7837297438863615,1
204,14.003023,0.28078684,3.6477594,-12.751481602574206,5.793376861698014,1
205,13.822154,0.26629975,3.6002865,-12.582088362383015,5.728342731277639,1
206,13.898661,0.2568602,3.641122,-12.647018552968204,5.769893154770356,1
207,13.817605,0.23374718,3.6246293,-12.563928795120143,5.755739694234142,1
208,13.687865,0.21008784,3.611509,-12.436691757164528,5.7210567500257135,1
209,13.649309,0.20940022,3.618189,-12.4016185914783,5.705028068632979,1
210,13.585041,0.18719792,3.623625,-12.334063850306853,5.697302188277801,1
211,13.508517,0.18612063,3.623943,-12.264576901072704,5.665230183652964,1
212,13.511181,0.14384156,3.667899,-12.24872288923452,5.704514588288861,1
213,13.327605,0.14187948,3.6180632,-12.082296871634089,5.627014637160805,1
214,13.286628,0.120609984,3.6264791,-12.036152255533814,5.6285045202307495,1
215,13.111808,0.11903537,3.5841477,-11.877790869460622,5.554435873503053,1
216,13.003467,0.118047625,3.5504463,-11.779644377813119,5.5085440318640115,1
217,12.97697,0.0974682,3.5658379,-11.746858726092666,5.51566434845533,1
218,12.98361,0.087327495,3.5851703,-11.748469314351281,5.527678307517519,1
219,12.982695,0.077115655,3.5844977,-11.743233972422981,5.536493695594669,1
220,12.8738785,0.06643106,3.576117,-11.640471920548077,5.499142991856276,1
221,12.874729,0.05630736,3.5880172,-11.636867693203554,5.508641544228994,1
222,12.795298,0.055976897,3.564668,-11.565080541626852,5.474640328981685,1
223,12.730187,0.0357461,3.5768254,-11.497617573847878,5.464772598904588,1
224,12.618827,0.015651789,3.563889,-11.38849735515384,5.434810433493128,1
226,12.398923,-0.004057853,3.5444512,-11.181640909013407,5.357631251754885,1
227,12.374636,-0.023429785,3.5601704,-11.151369704001258,5.364616603113135,1
228,12.425009,-0.013807099,3.5883226,-11.200959617031438,5.377688845844609,1
229,12.350964,-0.023391675,3.5647426,-11.13003475359975,5.354360392998849,1
230,12.293931,-0.032915592,3.568784,-11.074480847620956,5.338323426529596,1
231,12.089894,-0.041849334,3.5233362,-10.88658922345425,5.258276381521395,1
232,11.925882,-0.07866397,3.4901016,-10.722759294377397,5.220659987941763,1
233,12.134985,-0.08002448,3.5620959,-10.910775042873457,5.31217960028816,1
234,12.121697,-0.09897862,3.5772269,-10.89060557102977,5.323537878742946,1
235,11.94254,-0.12552153,3.541601,-10.717550538388796,5.270116867110739,1
236,11.907884,-0.15320127,3.5513864,-10.674339198046143,5.280118009554657,1
237,11.832961,-0.14299513,3.5563118,-10.61116878210425,5.238560170984012,1
238,11.703749,-0.1689244,3.525655,-10.483427249764032,5.206152346690198,1
239,11.673929,-0.17756706,3.5446649,-10.45279913708188,5.20107138644921,1
240,11.788436,-0.19789667,3.6067798,-10.54730166329105,5.268853056766069,1
241,11.618882,-0.20427012,3.5750914,-10.391618012481125,5.201386782575029,1
242,11.533461,-0.20289308,3.5582037,-10.31516538409457,5.163258903581097,1
243,11.4547,-0.21908596,3.5382707,-10.23713425794258,5.143854945482716,1
244,11.514717,-0.22944902,3.5688725,-10.286792287476963,5.179117803913134,1
245,11.378783,-0.23561391,3.5524569,-10.161522645307675,5.125980798753379,1
246,11.332771,-0.252314,3.554996,-10.112810249684633,5.121175311978172,1
247,11.160591,-0.24859156,3.525027,-9.959117162961238,5.0434687831910425,1
248,11.085088,-0.26445466,3.5154526,-9.884165955124999,5.025173693110543,1
249,10.980767,-0.27037942,3.5400524,-9.787514135924997,4.985471038132241,1
250,10.915029,-0.29447368,3.5312042,-9.717816031808615,4.978816631315281,1
251,10.793166,-0.31667185,3.5082161,-9.59831503722759,4.946217269348295,1
252,10.625014,-0.31996667,3.4842699,-9.445225231098194,4.876579537964529,1
253,10.640695,-0.353777,3.5220222,-9.444768710740423,4.913846163502085,1
254,10.546304,-0.35063758,3.5077934,-9.360987086137676,4.8702556665003405,1
255,10.550542,-0.3673178,3.5101871,-9.357607057897987,4.887130694706186,1
256,10.504371,-0.37404346,3.5112488,-9.313058060230066,4.873259859724166,1
257,10.4170685,-0.38716602,3.5220215,-9.228648090100522,4.847398034592162,1
258,10.357076,-0.40128323,3.5277958,-9.168440755598308,4.834225813818173,1
259,10.258812,-0.40540716,3.492777,-9.078029561832103,4.795514245604147,1
260,10.164084,-0.43334046,3.5069656,-8.980526807539407,4.77980487104093,1
261,10.067037,-0.46089718,3.4992435,-8.881093845188543,4.762753909787508,1
262,10.013732,-0.48990887,3.5032606,-8.82048737974649,4.765903984015887,1
263,9.9831,-0.5039468,3.524,-8.786796674146553,4.765338490216714,1
264,9.787102,-0.50183505,3.4698126,-8.610925053021818,4.678799923663695,1
265,9.773487,-0.52393377,3.4808338,-8.589102678058657,4.692853257721281,1
266,9.712769,-0.52086264,3.3539693,-8.535662832618153,4.66386437339699,1
267,9.605141,-0.53754586,3.4501595,-8.431382302833969,4.6324373296774235,1
268,9.530203,-0.52615505,3.4474158,-8.368709676531783,4.5898043695645345,1
269,9.473886,-0.5299844,3.461508,-8.316259869230052,4.568939966779142,1
270,9.330475,-0.5294367,3.440576,-8.187144973887657,4.506519876343428,1
271,9.294585,-0.54943347,3.4413586,-8.146139002277089,4.50905877686415,1
272,9.158042,-0.58443105,3.4480243,-8.007869479098709,4.481664701031382,1
273,9.150639,-0.54795355,3.4299965,-8.016943225244704,4.445566425047661,1
274,9.15679,-0.54846513,3.435196,-8.022270483150887,4.44868400382749,1
275,8.97183,-0.5652974,3.4009373,-7.848175246493689,4.383998931537517,1
276,8.966287,-0.5792219,3.3907478,-7.837162294959417,4.3941644976650345,1
277,8.755026,-0.5587121,3.1876988,-7.655468790175486,4.2844410037029315,1
278,8.924194,-0.50655365,3.2419286,-7.830575331089214,4.310444423716119,1
279,8.890655,-0.5185872,3.246078,-7.7951274466279665,4.306815450014836,1
280,9.226727,-0.49479786,3.3726358,-8.10852501176661,4.430477349842279,1
281,9.1774645,-0.4921561,3.3972383,-8.065233115092168,4.406822754667034,1
283,8.5692625,-0.674345,3.3816996,-7.437985395565351,4.308523451133515,1
284,8.540958,-0.672247,3.3624253,-7.413362037529028,4.294409131378488,1
285,8.519497,-0.68413466,3.3748307,-7.388871322751736,4.295864120627309,1
286,8.421677,-0.70246464,3.382014,-7.292725806611293,4.270157401927859,1
287,8.402109,-0.68082553,3.2524192,-7.28442058809558,4.2421902601522286,1
288,8.412771,-0.7148973,3.3522701,-7.279324910453198,4.277525762119232,1
289,8.378862,-0.68614465,3.30096,-7.261155976915333,4.236949747050622,1
290,8.433461,-0.69067,3.3309505,-7.308448090559389,4.264607743505934,1
291,8.319897,-0.6799229,3.2593935,-7.210657620421574,4.205875992876179,1
292,8.284728,-0.68395066,3.2592347,-7.177197500110712,4.194322760541087,1
293,8.218359,-0.69755703,3.2478485,-7.111459583322642,4.177936446902016,1
294,8.2050085,-0.6971559,3.2495255,-7.099591128720874,4.171809767974856,1
295,8.233813,-0.69904906,3.2605264,-7.1247545426222105,4.185955508048076,1
296,8.154329,-0.6929096,3.217694,-7.055713853363872,4.146096002576332,1
297,8.195093,-0.7086055,3.2360668,-7.085703769684508,4.177855394819814,1
298,8.241294,-0.71300167,3.2567306,-7.12547693130569,4.2017704774215305,1
